Blog	four	looking	second	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	best	asked	much	life	things	big	had	easy	possible	right	old	support	happy	offer	team	along	love	working	following	such	data	st	years	didn	internet	million	quite	open	city	future	saw	note	take	going	where	many	photos	being	rest	around	traffic	world	favorite	her	am	having	original	tv	th	large	small	past	full	pick	via	company	learn	information	its	always	found	really	major	number	self	also	play	sometimes	set	see	movie	available	whole	community	read	recent	person	amp	d	continue	anything	into	next	link	line	posted	us	ago	results	try	video	let	great	makes	tools	process	high	doing	books	could	david	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	android	less	web	five	become	problem	told	word	work	interview	after	order	office	them	network	another	john	do	away	com	photo	thanks	night	security	comments	post	months	book	people	way	update	together	change	live	december	write	remember	still	non	half	now	space	shows	care	yourself	ways	mostly	than	online	only	between	article	comes	learning	actually	these	media	real	rules	early	using	business	aren	lot	trying	month	very	learned	family	takes	history	help	soon	event	since	reason	put	american	off	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	design	used	game	popular	within	similar	doesn	e	youtube	go	does	facebook	click	products	started	control	links	software	including	him	front	keep	art	long	need	able	based	course	she	computer	written	attention	key	police	well	page	twitter	home	noticed	north	he	friends	companies	even	ever	never	call	tell	give	amazing	before	personal	better	weeks	went	side	content	isn	user	mind	seen	don	m	stop	bad	said	against	appeared	three	tiny	website	say	if	make	left	human	yes	yet	save	down	digital	daily	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	little	anyone	were	show	enough	get	nearly	morning	behind	reading	according	among	those	then	different	pay	same	money	audience	either	videos	general	again	important	u	public	search	two	share	needs	technology	coming	already	through	house	hard	idea	done	least	part	believe	build	most	find	giant	please	point	simple	simply	create	understand	talking	itself	spent	source	bit	google	often	back	use	forward	single	entire	others	later	ll	day	red	text	national	taking	almost	thought	latest	add	smart	works	actual	buy	minutes	special	under	every	school	changes	would	phone	me	times	end	over	writing	each	got	free	days	top	too	tool	took	though	watch	amazon	report	however	news	several	social	everything	christmas	check	no	when	posts	iphone	today	happened	name	turn	place	given	white	any	sure	state	come	case	myself	good	week	without	seems	blog	everyone	there	program	far	sony	list	version	known	short	might	feel	says	story	kind	nothing	his	hit	wrote	c	political	questions	customers	question	called	users	once	issues	apple	app	few	something	six	instead	looks	our	york	their	which	who	why	looked	local	words	view	stories	job	last	will	gets	other	know	january	because	lead	stay	getting	own	apps	made	happen
Steve Pavlina's Personal Development Blog	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	4	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	10	0	3	0	0	0	2	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	1	1	2	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	1	0	2	0	3	2	1	0	0	0	0	0	0	4	2	1	0	1	1	0	3	1	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	1	0	1	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	1	0	4	2	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	2	3	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0
WIL WHEATON dot NET	0	0	0	0	3	6	0	7	0	1	7	4	0	3	1	3	5	4	5	4	8	2	10	2	3	0	2	3	3	0	0	0	2	3	1	1	0	0	9	3	2	0	0	2	0	1	2	1	4	9	6	3	0	2	0	5	0	1	0	0	1	2	1	0	0	2	2	0	4	1	0	0	0	1	9	0	2	12	0	0	2	2	1	0	1	6	0	1	1	0	2	0	1	2	6	0	1	7	5	2	1	0	5	4	0	1	3	2	3	0	2	1	0	4	5	7	0	0	0	1	0	1	3	0	1	2	0	1	10	0	0	0	0	0	3	0	3	1	17	0	3	0	0	2	2	1	0	8	2	0	0	4	5	0	2	4	1	2	12	7	0	1	2	3	0	5	4	4	0	0	5	2	2	0	3	0	1	5	6	2	2	0	0	0	3	2	2	2	0	2	2	0	0	6	3	1	3	0	4	0	2	4	0	0	6	0	3	0	1	0	1	4	1	0	1	3	0	1	1	0	3	1	1	2	1	0	1	3	0	1	3	2	0	0	0	6	0	1	1	1	1	0	0	1	6	2	3	0	2	0	0	1	1	0	0	2	1	7	0	0	0	3	0	0	4	3	2	4	3	3	1	6	3	1	1	4	0	1	5	2	3	1	9	15	1	1	4	1	0	2	2	1	0	12	10	0	1	0	0	0	0	0	0	2	12	0	2	2	0	9	1	0	0	0	1	11	9	9	4	3	6	13	2	9	3	0	1	0	0	0	2	7	3	1	2	1	2	0	0	0	3	2	0	1	0	1	4	0	6	1	1	6	3	6	5	3	2	3	1	0	2	1	0	1	1	1	1	0	0	0	0	2	1	1	0	0	11	1	1	0	2	0	0	6	3	0	1	2	0	1	2	0	0	0	0	5	1	0	0	0	2	2	0	4	0	22	1	4	4	5	5	7	15	1	0	3	0	0	2	0	2	0	0	1	5	5	4	5	1	3	19	0	0	5	1	5	1	1	0	0	1	3	0	5	1	3	3	5	2	0	3	1	4	0	0	0	0	1	0	0	0	4	0	1	2	0	1	1	5	0	0	0	0	0	5	0	2	0	0	0	5	8	0	0	1	8	0	3	6	8	3	2	1	0	0	2	5	7	9	0	5	4	0	8	0	1	4	4	0	5	0
Online Marketing Report	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0
Creating Passionate Users	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	4	0	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	5	0	1	0	5	1	1	0	0	0	1	0	0	1	2	1	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	0
Bloggers Blog	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0
Joystiq RSS Feed	0	1	2	0	0	0	0	0	0	1	4	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	1	1	0	2	0	0	0	0	0	1	2	1	2	0	0	15	0	0	0	0	0	8	2	2	0	0	0	0	1	0	0	0	1	1	0	3	0	0	3	4	0	2	0	9	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	2	2	0	0	0	0	0	5	0	0	0	2	0	0	0	1	1	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	8	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4	0	1	0	11	2	0	0	0	0	0	0	4	2	0	0	0	1	1	1	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	8	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	0	0	1	1	1	0	0	2	0	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	3	0	2	1	5	0	0	0	1	0	0	2	0
Derek Powazek	0	1	0	0	0	0	0	1	1	0	7	1	0	0	0	1	1	0	1	5	1	1	3	2	1	4	2	0	4	0	0	1	1	0	1	0	0	1	5	1	1	0	0	1	0	0	0	0	1	4	0	1	2	0	1	1	0	3	0	9	3	0	0	0	0	0	2	0	1	0	0	1	0	0	1	4	1	2	0	1	1	2	0	0	0	3	0	1	0	3	0	0	0	0	2	4	1	4	1	2	0	1	4	2	0	1	0	1	5	0	0	1	1	1	0	1	0	0	0	0	1	0	1	2	0	1	0	0	11	2	0	1	1	0	0	0	0	3	3	0	4	0	0	2	1	3	0	7	1	1	0	0	2	0	0	3	2	6	2	0	1	1	1	2	0	3	0	4	0	0	10	0	0	0	1	1	0	2	2	1	4	0	1	0	0	2	2	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	2	1	0	1	1	1	0	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	1	0	1	7	0	0	0	1	0	2	1	1	0	1	0	5	2	0	1	1	3	1	0	0	2	1	0	0	2	3	0	1	0	0	0	1	4	12	0	3	3	1	0	4	0	0	3	9	1	1	0	1	1	0	2	1	0	0	4	0	0	0	1	1	3	0	0	0	0	4	4	3	7	0	2	3	5	6	0	2	0	4	0	0	1	7	0	0	3	3	1	0	0	0	2	0	0	0	0	9	1	0	0	1	1	1	0	3	0	1	0	2	0	0	2	1	0	0	0	1	1	2	0	1	2	3	0	0	0	2	2	0	1	1	0	0	1	4	2	0	0	0	1	1	1	0	0	0	0	0	1	1	2	1	3	0	0	0	0	15	1	0	5	2	1	1	0	4	2	2	0	3	0	1	0	0	0	1	0	0	2	0	0	2	11	0	0	2	0	0	0	0	0	1	0	1	0	3	0	0	1	3	0	0	1	1	7	0	0	0	0	0	0	1	1	5	0	3	1	0	3	1	1	0	0	1	0	0	0	0	2	2	0	0	5	8	2	0	0	3	0	4	2	1	1	1	0	0	0	1	1	7	5	2	3	6	0	3	0	0	2	2	0	2	0
Jeremy Zawodny's blog	1	2	3	0	0	4	0	3	5	1	5	2	2	2	0	1	2	4	4	1	5	0	17	0	2	5	0	0	2	0	3	5	0	4	1	3	4	0	8	11	2	0	1	0	0	2	2	4	3	8	8	3	5	4	1	3	0	1	2	1	4	5	1	0	0	2	5	0	3	1	1	2	0	1	0	1	1	12	0	2	0	7	0	0	4	10	0	2	1	0	3	2	2	0	13	0	2	9	5	0	14	0	28	6	1	4	0	0	2	4	2	0	6	2	1	13	0	1	1	1	1	3	6	0	1	2	0	3	7	1	0	1	0	0	0	2	2	0	6	0	11	0	1	7	4	4	0	6	4	0	0	2	2	0	11	2	0	1	6	13	0	2	1	0	0	2	3	4	2	0	5	0	0	0	1	0	0	4	0	7	2	0	0	0	1	1	1	1	0	0	4	4	0	7	3	0	16	2	0	0	0	5	1	0	7	1	2	0	5	0	3	1	2	3	0	0	6	4	1	0	6	0	1	0	0	0	0	1	0	0	9	3	0	0	0	1	2	0	0	0	4	1	2	0	10	5	0	0	3	2	1	1	0	0	0	7	0	1	1	3	0	9	0	0	4	3	3	1	0	3	0	12	0	2	2	6	1	1	0	0	0	2	1	6	1	0	2	1	3	1	0	0	6	18	4	4	0	0	2	0	25	1	0	1	7	1	1	5	0	3	3	0	4	3	0	3	3	13	2	2	24	0	2	16	0	0	4	4	0	0	2	16	1	0	3	0	0	3	2	0	0	4	0	2	1	6	0	0	0	3	1	2	0	5	2	0	0	0	0	1	8	2	0	3	4	0	2	0	1	0	1	1	0	11	0	2	16	10	3	1	3	3	2	8	8	0	0	0	1	0	0	0	0	0	0	0	3	4	0	0	1	0	3	8	0	17	3	5	9	0	5	8	1	0	4	5	0	6	1	1	0	0	3	0	3	1	2	0	2	5	16	0	0	3	2	3	4	1	0	0	2	3	0	1	1	3	6	4	1	3	3	4	19	0	2	0	1	0	1	3	2	1	0	0	0	0	10	0	1	0	0	1	2	0	2	2	1	0	0	0	13	7	0	3	0	22	0	13	9	5	5	1	1	0	1	1	1	2	12	1	8	5	0	6	4	0	6	0	0	7	0
@ProBlogger	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	6	1	2	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	2	2	2	0	1	0	0	0	0	0	4	0	3	4	0	1	3	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	3	1	0	0	0	1	2	0	1	2	0	1	0	2	0	0	0	0	2	1	0	0	0	4	1	0	0	0	1	6	0	0	0	0	9	0	0	0	0	1	0	1	1	0	1	0	0	0	6	0	1	0	0	0	0	1	4	1	0	2	1	0	0	1	0	0	1	0	1	0	0	6	0	0	2	1	4	0	1	0	1	0	0	0	0	1	4	9	2	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	14	0	0	0	0	0	1	0	5	0	5	1	0	0	0	1	0	0	0	0	1	6	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	2	0	0	1	0	0	2	0	2	0	1	0	7	1	0	0	1	3	1	0	2	0	0	0	0	0	0	3	3	2	0	1	0	0	0	0	6	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	4	1	2	0	0	0	2	2	2	0	0	0	1	0	1	0	0	1	0	0	1	23	1	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	3	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	2	1	6	0	0	0	0	0	3	7	1	1	0	0	6	1	0	0	0	0	0	0	0	0	1	9	2	1	0	4	2	16	0	2	0	0	1	0	0	0	1	0	0	2	0	0	2	2	3	0	38	2	5	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	8	5	0	2	0	0	0	0	1	0	4	0	1	3	9	0	0	0	2	0	1	0	2	0
Captain's Quarters	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	3	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	2	0	0	1	2	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	2	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	6	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0
plasticbag.org	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	5	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	6	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	1	2	0	0	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	2	3	0	1	0	1	0	0	0	0	0	0	0	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	0	1	0	0	1	0
The Superficial - Because You're Ugly	1	1	1	2	0	1	0	3	0	0	5	2	0	0	0	0	16	0	2	2	4	0	2	0	1	2	12	0	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	2	13	1	2	1	1	1	1	0	1	14	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	13	1	2	0	0	40	0	1	0	3	1	14	2	1	0	0	3	15	0	0	1	0	1	1	0	0	0	12	0	0	2	1	3	1	0	0	0	1	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	1	0	4	0	0	0	0	5	0	0	2	3	0	0	0	0	0	14	0	2	0	1	9	0	0	0	0	0	0	2	0	1	0	0	1	0	0	3	0	2	1	0	0	1	0	1	2	0	0	0	1	0	1	0	1	0	1	1	1	2	0	0	0	1	2	0	1	0	1	0	0	3	1	0	0	0	0	0	0	1	0	0	1	4	0	12	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	8	0	0	0	1	0	3	0	0	0	0	1	4	0	0	18	0	2	1	0	1	0	3	0	1	0	0	0	0	1	0	0	1	16	4	0	0	0	1	0	1	0	0	1	5	2	0	0	1	2	0	3	0	0	1	3	0	0	0	1	1	1	0	0	0	0	1	0	4	1	1	1	2	1	14	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	5	12	0	0	1	0	0	3	0	0	12	1	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	1	0	0	2	4	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	1	1	0	3	0	1	2	1	3	0	0	3	2	2	2	4	0	0	1	1	0	0	0	5	0	0	1	3	0	5	4	13	0	1	0	2	0	0	0	1	1	2	0	2	2	1	6	2	1	0	0	1	2	0	0	4	0	0	0	0	2	0	1	1	1	13	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	4	0	1	6	3	3	0	0	0	0	1	3	3	3	2	6	2	1	22	0	1	3	0	0	0	0
